index,stop_x,stop_y
1,105.2795,27.29993
2,106.387481,26.397301
3,106.39369,26.39589
4,106.393552,26.395626
5,106.431519,26.405144
6,106.43859,26.5424
7,106.442727,26.547948
8,106.44592,26.407606
9,106.447938,26.564574
10,106.45069,26.353094
11,106.45072,26.35281
12,106.454532,26.549878
13,106.458381,26.551575
14,106.46345,26.47846
15,106.460285,26.545785
16,106.465442,26.486769
17,106.468986,26.550702
18,106.469426,26.56621
19,106.468903,26.573324
20,106.466716,26.581608
21,106.468338,26.579573
22,106.47417,26.354414
23,106.473912,26.504317
24,106.474387,26.555892
25,106.46951,26.56321
26,106.474411,26.560971
27,106.469591,26.563343
28,106.474941,26.554142
29,106.47641,26.56049
30,106.479389,26.580357
31,106.478267,26.580681
32,106.478333,26.580491
33,106.48032,26.349538
34,106.482138,26.524844
35,106.483722,26.52857
36,106.48287,26.55571
37,106.479553,26.559442
38,106.48226,26.56376
39,106.484627,26.530975
40,106.48894,26.53856
41,106.488867,26.539097
42,106.488766,26.539362
43,106.485968,26.55344
44,106.489028,26.557365
45,106.492902,26.440106
46,106.49283,26.544668
47,106.493103,26.560108
48,106.496021,26.38611
49,106.49683,26.541094
50,106.495443,26.542128
51,106.501727,26.531564
52,106.50928,26.35001
53,106.508718,26.434145
54,106.506966,26.566413
55,106.5092,26.57843
56,106.510348,26.350368
57,106.512396,26.46775
58,106.51016,26.48954
59,106.5098,26.48923
60,106.516098,26.576067
61,106.534471,26.445903
62,106.53725,26.37026
63,106.536417,26.369883
64,106.535081,26.577387
65,106.54446,26.375109
66,106.543382,26.560707
67,106.543365,26.560687
68,106.545259,26.563246
69,106.54755,26.65483
70,105.27969,27.29992
71,106.55202,26.572687
72,106.37234,26.4048
73,106.556185,26.462477
74,106.386575,26.397693
75,106.44859,26.54936
76,106.555425,26.654716
77,106.447793,26.564487
78,106.555015,26.6546
79,106.445465,26.571638
80,106.451988,26.561845
81,106.563069,26.550882
82,106.4572,26.45478
83,106.563006,26.550841
84,106.456996,26.550801
85,106.564344,26.602685
86,106.460693,26.546443
87,106.569134,26.707614
88,106.462017,26.549583
89,106.57446,26.40762
90,106.462232,26.549341
91,106.570365,26.563325
92,106.46354,26.551027
93,106.570565,26.564568
94,106.463182,26.551234
95,106.46924,26.35558
96,106.46568,26.355353
97,106.569823,26.699627
98,106.468384,26.552292
99,106.469068,26.550825
100,106.570667,26.716343
101,106.466915,26.550457
102,106.570892,26.713394
103,106.465748,26.550105
104,106.576138,26.445578
105,106.465683,26.550017
106,106.576403,26.570979
107,106.466349,26.557111
108,106.577134,26.583897
109,106.46555,26.557433
110,106.578226,26.605749
111,106.466893,26.5587
112,106.577669,26.65556
113,106.468486,26.561261
114,105.920494,26.243364
115,106.377736,26.400442
116,106.467963,26.579802
117,106.378255,26.399731
118,106.58391,26.593473
119,106.406968,26.394178
120,106.466132,26.586925
121,106.434232,26.36226
122,106.581747,26.59732
123,106.43358,26.54848
124,106.470393,26.496635
125,106.4335,26.5484
126,106.58147,26.59525
127,106.43861,26.54241
128,106.472846,26.501984
129,106.442434,26.547835
130,106.5819,26.5946
131,106.448632,26.549333
132,106.473457,26.503357
133,106.446735,26.565816
134,106.587219,26.44957
135,106.450766,26.353306
136,106.470458,26.551985
137,106.45835,26.41686
138,106.58507,26.59845
139,106.45943,26.41734
140,106.472646,26.554166
141,106.45728,26.54857
142,106.586576,26.596061
143,106.458365,26.551575
144,106.474155,26.555796
145,106.454714,26.549926
146,106.586207,26.595496
147,106.46351,26.47879
148,106.461208,26.547479
149,106.58488,26.59794
150,106.463315,26.551963
151,106.469512,26.563419
152,106.462988,26.55139
153,106.585228,26.60223
154,106.462717,26.552749
155,106.469611,26.56566
156,106.467003,26.550359
157,106.584959,26.598529
158,106.468044,26.552649
159,106.47356,26.58322
160,106.465621,26.55582
161,106.585114,26.60148
162,106.468165,26.561078
163,106.469444,26.566437
164,106.58519,26.600334
165,106.469026,26.572268
166,106.47644,26.35254
167,106.466555,26.581594
168,106.587072,26.608585
169,106.47696,26.56044
170,106.470592,26.497183
171,106.585097,26.604191
172,106.472706,26.50173
173,106.477126,26.558695
174,106.470303,26.551674
175,106.59351,26.6547
176,106.472669,26.554136
177,106.481254,26.522607
178,106.472715,26.554355
179,106.59575,26.38515
180,106.470784,26.555479
181,106.482027,26.524526
182,106.471398,26.555363
183,106.47432,26.55588
184,106.48399,26.529347
185,106.474112,26.555772
186,106.599298,26.388075
187,106.470032,26.579606
188,106.47999,26.55535
189,106.4725,26.58463
190,106.5955,26.620929
191,106.47944,26.49853
192,106.482902,26.555609
193,106.478927,26.516002
194,106.59948,26.65414
195,106.476704,26.554213
196,106.48521,26.34739
197,106.477111,26.55869
198,106.601401,26.597953
199,106.477303,26.560201
200,106.48943,26.354508
201,106.477062,26.558781
202,106.602288,26.612119
203,106.477541,26.580874
204,106.484668,26.355211
205,106.47468,26.581048
206,106.603168,26.653351
207,106.48347,26.347687
208,106.484792,26.355139
209,106.482518,26.525666
210,106.608471,26.601485
211,106.484697,26.531134
212,106.485615,26.532971
213,106.480177,26.555312
214,106.607837,26.599854
215,106.4838,26.55778
216,106.487762,26.548004
217,106.482978,26.558008
218,106.607678,26.599916
219,106.485199,26.556679
220,106.48221,26.56396
221,106.607913,26.62257
222,106.48406,26.57984
223,106.485518,26.555236
224,106.485145,26.34757
225,106.60841,26.65104
226,106.485962,26.55345
227,106.485547,26.555964
228,106.485685,26.55467
229,106.60863,26.652685
230,106.488974,26.557212
231,106.487041,26.579777
232,106.493489,26.436791
233,106.611789,26.397756
234,106.49002,26.55329
235,106.486246,26.579863
236,106.494871,26.56166
237,106.5021,26.348674
238,106.493,26.43821
239,106.50297,26.400706
240,106.61013,26.63811
241,106.504185,26.41094
242,106.492525,26.54454
243,106.504464,26.41157
244,106.61401,26.647506
245,106.50166,26.51801
246,106.489927,26.552628
247,106.501096,26.526424
248,106.611809,26.645501
249,106.501331,26.53572
250,106.504746,26.480527
251,106.50698,26.56652
252,106.48996,26.557934
253,106.511791,26.346837
254,106.510208,26.350118
255,106.495297,26.37365
256,106.61233,26.650248
257,106.517467,26.351574
258,106.497256,26.387911
259,106.51693,26.57547
260,106.609582,26.672872
261,106.52133,26.35221
262,106.503428,26.401025
263,106.52438,26.45326
264,106.61156,26.669146
